1×1＝1	いち いち が　いち
1×2＝2	いち に が　に
1×3＝3	いち さん が　さん
1×4＝4	いち よん が　よん
1×5＝5	いち ご が　ご
1×6＝6	いち ろく が　ろく
1×7＝7	いち なな が　なな
1×8＝8	いち はち が　はち
1×9＝9	いち く が　く
2×1＝2	に いち が　に
2×2＝4	に にん が　し
2×3＝6	に さん が　ろく
2×4＝8	に し が　はち
2×5＝10	に ご　じゅう
2×6＝12	に ろく　じゅうに
2×7＝14	に しち　じゅうし
2×8＝16	に はち　じゅうろく
2×9＝18	に く　じゅうはち
3×1＝3	さん いち が　さん
3×2＝6	さん にん が　ろく
3×3＝9	さ ざん が　く
3×4＝12	さん し　じゅうに
3×5＝15	さん ご　じゅうご
3×6＝18	さぶ ろく　じゅうはち
3×7＝21	さん しち　にじゅういち
3×8＝24	さん ぱ　にじゅうし
3×9＝27	さん く　にじゅうしち
4×1＝4	し いち が　し
4×2＝8	し に が　はち
4×3＝12	し さん　じゅうに
4×4＝16	し し　じゅうろく
4×5＝20	し ご　にじゅう
4×6＝24	し ろく　にじゅうし
4×7＝28	し しち　にじゅうはち
4×8＝32	し は　さんじゅうに
4×9＝36	し く　さんじゅうろく
5×1＝5	ご いち が　ご
5×2＝10	ご に　じゅう
5×3＝15	ご さん　じゅうご
5×4＝20	ご し　にじゅう
5×5＝25	ご ご　にじゅうご
5×6＝30	ご ろく　さんじゅう
5×7＝35	ご しち　さんじゅうご
5×8＝40	ご は　しじゅう
5×9＝45	ご っく　しじゅうご
6×1＝6	ろく いち が　ろく
6×2＝12	ろく に　じゅうに
6×3＝18	ろく さん　じゅうはち
6×4＝24	ろく し　にじゅうし
6×5＝30	ろく ご　さんじゅう
6×6＝36	ろく ろく　さんじゅうろく
6×7＝42	ろく しち　しじゅうに
6×8＝48	ろく は　しじゅうはち
6×9＝54	ろ っく　ごじゅうし
7×1＝7	しち いち が　しち
7×2＝14	しち に　じゅうし
7×3＝21	しち さん　にじゅういち
7×4＝28	しち し　にじゅうはち
7×5＝35	しち ご　さんじゅうご
7×6＝42	しち ろく　しじゅうに
7×7＝49	しち しち　しじゅうく
7×8＝56	しち は　ごじゅうろく
7×9＝63	しち く　ろくじゅうさん
8×1＝8	はち いち が　はち
8×2＝16	はち に　じゅうろく
8×3＝24	はち さん　にじゅうし
8×4＝32	はち し　さんじゅうに
8×5＝40	はち ご　しじゅう
8×6＝48	はち ろく　しじゅうはち
8×7＝56	はち しち　ごじゅうろく
8×8＝64	は っぱ　ろくじゅうし
8×9＝72	は っく　しちじゅうに
9×1＝9	く いち が　く
9×2＝18	く に　じゅうはち
9×3＝27	く さん　にじゅうしち
9×4＝36	く し　さんじゅうろく
9×5＝45	く ご　しじゅうご
9×6＝54	く ろく　ごじゅうし
9×7＝63	く しち　ろくじゅうさん
9×8＝72	く は　しちじゅうに
9×9＝81	く く　はちじゅういち
